Ensembl Protein ID	HGNC symbol
ENSP00000221576	C19orf53
ENSP00000221665	FIZ1
ENSP00000221671	C19orf44
ENSP00000221700	CYP4F2
ENSP00000221730	EPHX3
ENSP00000221740	CASP14
ENSP00000221742	SLC1A6
ENSP00000221770	POP4
ENSP00000221784	PDCD5
ENSP00000221797	LGALS13
ENSP00000221801	FBL
ENSP00000221804	CLC
ENSP00000221818	CNTD2
ENSP00000221847	EBI3
ENSP00000221855	TBCB
ENSP00000221856	FSD1
ENSP00000221859	POLR2I
ENSP00000221891	APLP1
ENSP00000221922	CCDC9
ENSP00000221930	TGFB1
ENSP00000221943	ATP5SL
ENSP00000221954	CEACAM4
ENSP00000221957	PLIN3
ENSP00000221972	CD79A
ENSP00000221973	LIM2
ENSP00000221975	RPS19
ENSP00000221978	NKG7
ENSP00000221980	ICAM5
ENSP00000221992	CEACAM5
ENSP00000221996	CRX
ENSP00000222002	SULT2A1
ENSP00000222005	CDC37
ENSP00000222008	RABAC1
ENSP00000222032	CNFN
ENSP00000222033	ZNRF4
ENSP00000222115	HAS1
ENSP00000222120	RAB3D
ENSP00000222122	DBP
ENSP00000222125	CAPS
ENSP00000222139	EPOR
ENSP00000222145	RASIP1
ENSP00000222157	FGF21
ENSP00000222190	WDR83OS
ENSP00000222212	CACNG7
ENSP00000222214	GCDH
ENSP00000222219	DNASE2
ENSP00000222224	LENG1
ENSP00000222247	RPL18A
ENSP00000222248	SLC5A5
ENSP00000222250	ARRDC2
ENSP00000222254	PIK3R2
ENSP00000222256	RAB3A
ENSP00000222266	PSENEN
ENSP00000222270	
ENSP00000222271	COMP
ENSP00000222275	UPK1A
ENSP00000222284	TMEM147
ENSP00000222286	GAPDHS
ENSP00000222304	HAMP
ENSP00000222305	USF2
ENSP00000222307	KXD1
ENSP00000222308	FKBP8
ENSP00000222329	ERF
ENSP00000222330	GSK3A
ENSP00000222345	SIPA1L3
ENSP00000222374	CADM4
ENSP00000222381	PON1
ENSP00000222382	CYP3A43
ENSP00000222388	ABCF2
ENSP00000222390	HGF
ENSP00000222399	LAMB1
ENSP00000222402	UBE2D4
ENSP00000222462	WNT16
ENSP00000222481	CPA2
ENSP00000222482	CPA4
ENSP00000222511	GTPBP10
ENSP00000222543	TFPI2
ENSP00000222547	BET1
ENSP00000222553	NAMPT
ENSP00000222567	TWISTNB
ENSP00000222572	PON2
ENSP00000222573	ITGB8
ENSP00000222574	HBP1
ENSP00000222584	SP4
ENSP00000222598	DLX5
ENSP00000222644	MPP6
ENSP00000222673	OGDH
ENSP00000222674	NPVF
ENSP00000222693	CAV2
ENSP00000222718	HOXA2
ENSP00000222725	LFNG
ENSP00000222726	HOXA5
ENSP00000222728	HOXA6
ENSP00000222747	TSPAN12
ENSP00000222753	HOXA13
ENSP00000222792	CHN2
ENSP00000222800	ABHD11
ENSP00000222803	FKBP14
ENSP00000222812	STX1A
ENSP00000222823	NOD1
ENSP00000222902	CCL24
ENSP00000222968	PDAP1
ENSP00000222969	BUD31
ENSP00000222982	CYP3A5
ENSP00000222990	SNX8
ENSP00000223023	WASL
ENSP00000223026	HYAL4
ENSP00000223029	AIMP2
ENSP00000223051	TFR2
ENSP00000223054	MOSPD3
ENSP00000223061	PCOLCE
ENSP00000223073	RBM28
ENSP00000223095	SERPINE1
ENSP00000223114	MOGAT3
ENSP00000223122	C1GALT1
ENSP00000223127	PLOD3
ENSP00000223129	RPA3
ENSP00000223136	FIS1
ENSP00000223140	NOBOX
ENSP00000223145	GLCCI1
ENSP00000223167	MYL10
ENSP00000223190	NRF1
